ticker,company_name,isin,sector,records,source_company_name,page_exists
ABIO,Artgen biotekh,RU000A0JNAB6,Health care,2632,Artgen biotekh (ISKCh),True
ABRD,"PJSC ""Abrau - Dyurso""",RU000A0JS5T7,Consumer staples,2418,Abrau-Dyurso,True
AFKS,"PJSC AFK ""Sistema""",RU000A0DQZE3,Financials,3461,Sistema,True
AFLT,"PJSC ""Aeroflot - Russian avialinii""",RU0009062285,Transportation,4739,Aeroflot,True
AKRN,"OJSC ""Acron""",RU0009028674,Manufacturing,4223,Acron,True
ALRS,"AK ""ALROSA"" (PJSC)",RU0007252813,Manufacturing,4445,ALROSA,True
AMEZ,Ashinckiy metzavod PAO,RU000A0B88G6,,2378,Ashinskiĭ MZ,True
APRI,APRI,RU000A108LJ5,Real estate,660,APRI,True
APTK,"PJSC ""Aptechnaya set 36,6""",RU0008081765,Health care,2019,Apteki 36 and 6,True
AQUA,"PJSC ""Russkaya Akvakultura""",RU000A0JQTS3,Consumer staples,3188,Inarktika (Russkaya Akvakultura),True
ARSA,"OJSC ""Asset manager UK Arsagera""",RU000A0JP0Q7,Financials,1773,UK Arsagera,True
ASSB,Astrakhan Energo Sbyt,RU000A0D8MM8,,1929,Astrakhanenergosbyt,True
ASTR,Group Astra,RU000A106T36,Technology,1081,Group Astra,True
AVAN,"PJSC AKB ""Avangard""",RU000A0DM7B3,Financials,895,Avangard,True
B2BRTS,B2B-RTS,,Technology,329,B2B-RTS,True
BANE,"Bashneft, Aktsionernaya oil company, PJSC",RU0007976957,Energy,3369,Bashneft,True
BAZA,Group Bazis,RU000A10CTQ0,Real estate,596,BAZIS,True
BELU,Novabev Grupp,RU000A0HL5M1,Consumer staples,2822,NovaBev Grupp (Beluga Grupp),True
BLNG,"OJSC ""Belon""",RU000A0J2QG8,Energy,1872,Belon,True
BRZL,"OJSC ""Buryatzoloto""",RU0009288658,Manufacturing,1766,Buryatzoloto,True
BSPB,"PJSC ""Bank Saint Petersburg""",RU0009100945,Financials,3360,Bank Saint Petersburg,True
CARM,CarMoney,RU000A105NV2,Financials,1439,KarMani (STG),True
CBOM,"OJSC ""Moscow Credit Bank""",RU000A0JUG31,Financials,2179,MKB,True
CHKZ,CKPZ,RU000A0JNST0,,2130,ChKPZ,True
