date,key_rate,usd_rub,cny_rub,eur_rub,chf_rub
2026-02-13,15.5,77.188,11.1582,91.7113,100.479
2026-02-14,15.5,77.188,11.1582,91.7113,100.479
2026-02-15,15.5,77.188,11.1582,91.7113,100.479
2026-02-16,15.5,77.188,11.1582,91.7113,100.479
2026-02-17,15.5,76.6201,11.0859,91.0368,99.5842
2026-02-18,15.5,76.7389,11.0934,90.8658,99.7646
2026-02-19,15.5,76.1524,11.0137,90.2683,98.7197
2026-02-20,15.5,76.6405,11.0747,90.1669,99.3525
2026-02-21,15.5,76.6405,11.0747,90.1669,99.3525
2026-02-22,15.5,76.6405,11.0747,90.1669,99.3525
2026-02-23,15.5,76.6405,11.0747,90.1669,99.3525
2026-02-24,15.5,76.6405,11.0747,90.1669,99.3525
2026-02-25,15.5,76.6342,11.1172,90.5821,99.0106
2026-02-26,15.5,76.4678,11.1187,90.3211,98.7828
2026-02-27,15.5,77.1218,11.2487,91.0281,99.6534
2026-02-28,15.5,77.1218,11.2487,91.0281,99.6534
2026-03-01,15.5,77.1218,11.2487,91.0281,99.6534
2026-03-02,15.5,77.1218,11.2487,91.0281,99.6534
2026-03-03,15.5,77.1734,11.196,90.7307,99.9655
2026-03-04,15.5,77.6093,11.221,90.3098,98.7521
2026-03-05,15.5,77.8009,11.2488,90.7458,99.3118
2026-03-06,15.5,78.19,11.3486,90.7926,100.3465
2026-03-07,15.5,78.19,11.3486,90.7926,100.3465
2026-03-08,15.5,78.19,11.3486,90.7926,100.3465
2026-03-09,15.5,78.19,11.3486,90.7926,100.3465
2026-03-10,15.5,78.19,11.3486,90.7926,100.3465
2026-03-11,15.5,78.7396,11.4413,91.8979,101.5471
2026-03-12,15.5,79.068,11.5051,91.9378,101.5515
2026-03-13,15.5,79.0671,11.5027,91.3893,101.3031
2026-03-14,15.5,79.0671,11.5027,91.3893,101.3031
2026-03-15,15.5,79.0671,11.5027,91.3893,101.3031
2026-03-16,15.5,79.0671,11.5027,91.3893,101.3031
2026-03-17,15.5,81.0517,11.7441,92.6555,102.7011
2026-03-18,15.5,81.9103,11.8865,93.1557,104.0792
2026-03-19,15.5,83.1259,12.1155,94.6663,105.7312
2026-03-20,15.0,84.8379,12.3824,96.9155,106.7949
2026-03-21,15.0,84.8379,12.3824,96.9155,106.7949
2026-03-22,15.0,84.8379,12.3824,96.9155,106.7949
2026-03-23,15.0,84.8379,12.3824,96.9155,106.7949
2026-03-24,15.0,81.8763,11.8709,94.7264,103.2358
2026-03-25,15.0,80.9604,11.7271,93.9247,102.9245
