ticker,company_name,isin,sector,records,source_company_name,page_exists
ABIO,Артген биотех,RU000A0JNAB6,Здравоохранение,2632,Артген биотех (ИСКЧ),True
ABRD,"ПАО ""Абрау - Дюрсо""",RU000A0JS5T7,Потребительские товары недлительного пользования,2418,Абрау-Дюрсо,True
AFKS,"ПАО АФК ""Система""",RU000A0DQZE3,Финансы,3461,АФК Система,True
AFLT,"ПАО ""Аэрофлот - российские авиалинии""",RU0009062285,Транспорт,4739,Аэрофлот,True
AKRN,"ОАО ""Акрон""",RU0009028674,Обрабатывающая промышленность,4223,Акрон,True
ALRS,"АК ""АЛРОСА"" (ПАО)",RU0007252813,Обрабатывающая промышленность,4445,АЛРОСА,True
AMEZ,АшинскийМЗ,RU000A0B88G6,,2378,Ашинский МЗ,True
APRI,АПРИ,RU000A108LJ5,Недвижимость,660,АПРИ,True
APTK,"ПАО ""Аптечная сеть 36,6""",RU0008081765,Здравоохранение,2019,Аптеки 36 и 6,True
AQUA,"ПАО ""Русская Аквакультура""",RU000A0JQTS3,Потребительские товары недлительного пользования,3188,Инарктика (Русская Аквакультура),True
ARSA,"ОАО ""Управляющая компания Арсагера""",RU000A0JP0Q7,Финансы,1773,Арсагера,True
ASSB,АстрЭнСб,RU000A0D8MM8,,1929,Астраханэнергосбыт,True
ASTR,ГК Астра,RU000A106T36,Технологии,1081,Группа Астра,True
AVAN,"ПАО АКБ ""Авангард""",RU000A0DM7B3,Финансы,895,Авангард,True
B2BRTS,B2B-РТС,,Технологии,329,B2B-РТС,True
BANE,"Башнефть, Акционерная нефтяная компания, ПАО",RU0007976957,Энергетика,3369,Башнефть,True
BAZA,ГК Базис,RU000A10CTQ0,Недвижимость,596,БАЗИС,True
BELU,Новабев Групп,RU000A0HL5M1,Потребительские товары недлительного пользования,2822,НоваБев Групп (Белуга Групп),True
BLNG,"ОАО ""Белон""",RU000A0J2QG8,Энергетика,1872,Белон,True
BRZL,"ОАО ""Бурятзолото""",RU0009288658,Обрабатывающая промышленность,1766,Бурятзолото,True
BSPB,"ПАО ""Банк Санкт-Петербург""",RU0009100945,Финансы,3360,Банк Санкт-Петербург,True
CARM,CarMoney,RU000A105NV2,Финансы,1439,КарМани (СТГ),True
CBOM,"ОАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",RU000A0JUG31,Финансы,2179,МКБ,True
CHKZ,ЧКПЗ ао,RU000A0JNST0,,2130,ЧКПЗ,True
CHMF,"ПАО ""Северсталь""",RU0009046510,Обрабатывающая промышленность,4326,Северсталь,True
CHMK,"ПАО ""Челябинский металлургический комбинат""",RU0007665170,Обрабатывающая промышленность,2476,ЧМК,True
CNRU,ЦИАН,RU000A10ANA1,Недвижимость,1373,ЦИАН (CIAN),True
CNTL,"ПАО ""Центральный телеграф""",RU0007665147,Технологии,2791,Центральный телеграф,True
DATA,Arenadata,RU000A108ZR8,Технологии,1304,Аренадата,True
DELI,Делимобиль,RU000A107J11,Промышленность,1538,Делимобиль (Каршеринг Руссия),True
DIAS,Diasoft,RU000A107ER5,Технологии,1755,Диасофт,True
DIOD,"ОАО ""Завод ДИОД""",RU000A0JQWC1,Здравоохранение,2537,ДИОД,True
DOMRF,ДОМ.РФ,RU000A0ZZFU5,,791,ДОМ.РФ,True
DVEC,"ОАО ""Дальневосточная энергетическая компания""",RU000A0JP2W1,Коммунальные услуги,2713,ДЭК,True
DZRD,Донской завод радиодеталей,RU000A0JQW11,Технологии,2168,ДЗРД - Донской завод радиодеталей,True
EELT,"ПАО ""Европейская Электротехника""",RU000A0JWW54,Промышленность,2716,Европейская Электротехника,True
ELFV,ЭЛ5-Энерго,RU000A0F5UN3,Коммунальные услуги,4309,Эл5 Энерго (Энел),True
ELMT,Элемент,RU000A102093,Технологии,1001,Группа Элемент,True
ENPG,"Международная компания ПАО ""ЭН+ ГРУП""",RU000A100K72,Коммунальные услуги,2426,En+,True
ETLN,Эталон Груп,RU000A10C1L6,Финансы,2088,Эталон,True
EUTR,ЕвроТранс,RU000A1002V2,Энергетика,1497,ЕВРОТРАНС,True
FEES,Федеральная Сетевая Компания Единой Энергетической Системы ПАО,RU000A0JPNN9,Коммунальные услуги,2772,Россети (ФСК),True
FESH,"ПАО ""Дальневосточное морское пароходство""",RU0008992318,Транспорт,2858,ДВМП,True
FIXR,Fix Price Group Ltd,RU000A10B5G8,Потребительские товары недлительного пользования,1332,ФИКС ПРАЙС,True
FLOT,"ПАО ""СОВРЕМЕННЫЙ КОММЕРЧЕСКИЙ ФЛОТ""",RU000A0JXNU8,Транспорт,2717,Совкомфлот,True
GAZA,"ОАО ""ГАЗ""",RU0009034268,Потребительские товары длительного пользования,758,ГАЗ,True
GAZC,ГАЗКОН,RU000A0JQG86,Финансы,263,Газкон,True
GAZP,"ПАО ""Газпром""",RU0007661625,Энергетика,5002,Газпром,True
GAZS,ГАЗ-сервис,RU000A0JQG78,Финансы,867,ГАЗ-сервис,True
GAZT,ГАЗ-Тек,RU000A0JS199,Финансы,1059,Газ-Тек,True
GCHE,"ПАО ""Группа Черкизово""",RU000A0JL4R1,Потребительские товары недлительного пользования,1120,Черкизово,True
GECO,Генетико,RU000A105BN4,Здравоохранение,921,Генетико,True
GEMA,Международный Медицинский Центр Обработки и Криохранения Биоматериалов,RU000A100GC7,Здравоохранение,1865,ММЦБ,True
GEMC,МКПАО ЮМГ,RU000A107JE2,Финансы,1650,ЕМС | ЮМГ,True
GLRX,Глоракс,RU000A10CRQ4,Недвижимость,533,ГЛОРАКС | Glorax,True
GMKN,"ПАО ""ГМК ""Норильский никель""",RU0007288411,Обрабатывающая промышленность,4437,ГМК Норникель,True
GTRK,ПАО ГЛОБАЛТРАК МЕНЕДЖМЕНТ,RU000A0ZYD22,Промышленность,2104,Globaltruck (ГТМ),True
HEAD,МКАО «Хэдхантер»,RU000A107662,Технологии,1832,HeadHunter (Хэдхантер),True
HIMCP,Химпром (ПАО),RU0009099006,Обрабатывающая промышленность,2591,Химпром,True
HNFG,Henderson,RU000A106XF2,Потребительские товары длительного пользования,1519,Henderson (Хэндерсон фэшн групп),True
HYDR,"ПАО ""Федеральная гидрогенерирующая компания - РусГидро""",RU000A0JPKH7,Коммунальные услуги,4897,Русгидро,True
IGST,"ОАО ""Ижсталь""",RU0002155292,Обрабатывающая промышленность,2423,Ижсталь,True
IRAO,"ПАО ""Интер РАО ЕЭС""",RU000A0JPNM1,Коммунальные услуги,4984,ИнтерРАО,True
IRKT,ЯКОВЛЕВ,RU0006752979,Промышленность,2005,Яковлев (Иркут),True
IVAT,IVA Technologies,RU000A108GD8,Технологии,1201,IVA Technologies,True
JNOS,"ОАО""Славнефть-Ярославнефтеоргсинтез""",RU0009100895,Энергетика,1986,Славнефть-ЯНОС,True
KAZT,"ЗАО ""Куйбышев Азот""",RU000A0B9BV2,Обрабатывающая промышленность,3648,КуйбышевАзот,True
KBSB,"ОАО ""Кубаньэнергосбыт""",RU000A0JNJ11,Коммунальные услуги,2510,ТНС энерго Кубань,True
KCHE,"ПАО энергетики и электрификации ""Камчатскэнерго""",RU0006753498,Коммунальные услуги,2464,Камчатскэнерго,True
KFBA,Инград,RU000A0DJ9B4,Недвижимость,1939,Инград,True
KGKC,КурганГКао,RU000A0JP120,,2591,Курганская ГК,True
KLSB,КалужскСК,RU000A0DKZK3,,2188,Калужская сбытовая компания,True
KLVZ,КЛВЗ Кристалл,RU000A107KX0,Потребительские товары недлительного пользования,833,КЛВЗ Кристалл,True
KMAZ,"ПАО ""КАМАЗ""",RU0008959580,Промышленность,3247,КАМАЗ,True
KMEZ,"ПАО ""Ковровский механический завод""",RU0006753613,Промышленность,1627,КМЗ,True
KOGK,РН-Западная Сибирь,RU0002155359,Энергетика,1912,Коршуновский ГОК,True
KRKN,"ПАО ""Саратовский нефтеперерабатывающий завод""",RU0009100408,Энергетика,1781,Саратовский НПЗ,True
KRKOP,ТКЗКК ап,RU0009098131,,2418,Красный котельщик,True
KROT,"ОАО ""Московская кондитерская фабрика ""Красный Октябрь""",RU0008913850,Потребительские товары недлительного пользования,2617,МКФ Красный Октябрь,True
KRSB,ПAO Красноярскэнергосбыт,RU000A0HMLY1,Коммунальные услуги,2582,Красноярскэнергосбыт,True
KUZB,"ПАО Банк ""Кузнецкий""",RU000A0JSQ66,Финансы,1120,Кузнецкий банк,True
KZOS,"ПАО Казанское ПАО ""Органический синтез""",RU0009089825,Обрабатывающая промышленность,3122,Казаньоргсинтез,True
LEAS,ЛК Европлан,RU000A0ZZFS9,Финансы,849,Европлан,True
LENT,LENTA Ltd,RU000A102S15,Потребительские товары недлительного пользования,3596,Лента,True
LIFE,ПАО «Фармсинтез»,RU000A0JR514,Здравоохранение,1925,Фармсинтез,True
LKOH,"ПАО ""Нефтяная компания ""ЛУКОЙЛ""",RU0009024277,Энергетика,4803,Лукойл,True
LMBZ,Ламбумиз,RU000A108ZX6,,1024,Ламбумиз,True
LNZL,"ПАО ""Лензолото""",RU000A0JP1N2,Обрабатывающая промышленность,2377,Лензолото,True
LPSB,Липецкая энергосбытовая компания,RU000A0D8MR7,Электроэнергетика,1822,ЛЭСК,True
LSNG,"ПАО энергетики и электрификации ""Ленэнерго""",RU0009034490,Коммунальные услуги,4655,Россети Ленэнерго,True
LSRG,"ПАО ""Группа ЛСР""",RU000A0JPFP0,Недвижимость,4252,ЛСР Группа,True
LVHK,"ОАО ""Левенгук""",RU000A0JT7Y2,Промышленность,2312,левенгук,True
MAGE,"ОАО энергетики и электрификации ""Магаданэнерго""",RU0006758919,Коммунальные услуги,2843,Магаданэнерго,True
MAGN,"ОАО ""Магнитогорский металлургический комбинат""",RU0009084396,Обрабатывающая промышленность,4620,ММК,True
MBNK,МТС Банк,RU000A0JRH43,Финансы,780,МТС Банк,True
MDMG,МКПАО «МД Медикал Груп»,RU000A108KL3,Здравоохранение,1836,Мать и Дитя (MD),True
MFGS,"ОАО ""Славнефть-Мегионнефтегаз""",RU0009011126,Энергетика,1686,Славнефть Мегионнефтегаз,True
MGKL,МГКЛ,RU000A0JVJQ8,Финансы,1549,МГКЛ (Мосгорломбард),True
MGNT,"ПАО ""Магнит""",RU000A0JKQU8,Потребительские товары недлительного пользования,4599,Магнит,True
MGNZ,СМЗ-ао,RU0009100911,,2018,СМЗ,True
MGTS,"ПАО ""Московская городская телефонная сеть""",RU0009036461,Технологии,3096,МГТС,True
MISB,ТНС энерго Марий Эл,RU000A0D8K33,Коммунальные услуги,2914,ТНС энерго Марий Эл,True
MOEX,"ПАО ""Московская Биржа ММВБ-РТС""",RU000A0JR4A1,Финансы,2604,Московская биржа,True
MRKC,"ОАО ""Межрегиональная распределительная компания центра""",RU000A0JPPL8,Коммунальные услуги,4251,Россети Центр,True
MRKK,"ПАО ""Межрегиональная распределительная сетевая компания  Северного Кавказа""",RU000A0JPPQ7,Коммунальные услуги,3435,Россети Северный Кавказ,True
MRKP,"ПАО ""Межрегиональная распределительная компания центра и Приволжья""",RU000A0JPN96,Коммунальные услуги,4037,Россети Центр и Приволжье,True
MRKS,"ПАО ""Межрегиональная распределительная компания Сибири""",RU000A0JPPF0,Коммунальные услуги,3645,Россети Сибирь,True
MRKU,"ОАО ""Межрегиональная распределительная сетевая компания Урала""",RU000A0JPPT1,Коммунальные услуги,3731,Россети Урал,True
MRKV,"ПАО ""Межрегиональная распределительная сетевая компания Волги""",RU000A0JPPN4,Коммунальные услуги,4052,Россети Волга,True
MRKY,"ПАО ""Межрегиональная распределительная компания Юга""",RU000A0JPPG8,Коммунальные услуги,3650,Россети Юг,True
MRKZ,"ПАО ""Межрегиональная распределительная сетевая компания Северо-Запад""",RU000A0JPPB9,Коммунальные услуги,3952,Россети Северо-Запад,True
MRSB,"ПАО ""Мордовская энергосбытовая компания""",RU000A0D9AJ7,Коммунальные услуги,2405,Мордовэнергосбыт,True
MSNG,"ПАО Энергетики и электрификации ""Мосэнерго""",RU0008958863,Коммунальные услуги,3678,Мосэнерго,True
MSRS,Россети Московский регион,RU000A0ET7Y7,Коммунальные услуги,4384,Россети МР (МОЭСК),True
MSTT,"Мостотрест, ПАО",RU0009177331,Промышленность,2606,Мостотрест,True
MTLR,"ПАО ""Мечел""",RU000A0DKXV5,Обрабатывающая промышленность,4149,Мечел,True
MTSS,"ПАО ""Мобильные ТелеСистемы""",RU0007775219,Технологии,4203,МТС,True
MVID,"ПАО  ""М.видео""",RU000A0JPGA0,Потребительские товары длительного пользования,3306,М.Видео-Эльдорадо,True
NAUK,"ОАО ""НПО Наука""",RU000A0JRPX9,Промышленность,2186,НПО Наука,True
NFAZ,НЕФАЗ,RU0009115604,,1821,Нефтекамский автозавод (Нефаз),True
NKHP,"ПАО ""Новороссийский комбинат хлебопродуктов""",RU000A0BLWD7,Транспорт,3134,НКХП,True
NKNC,ПАО «Нижнекамскнефтехим»,RU0009100507,Химическая промышленность,3299,НКНХ,True
NKSH,"ПАО ""Нижнекамскшина""",RU0009100515,Потребительские товары длительного пользования,2700,Нижнекамскшина,True
NLMK,"ОАО ""Новолипецкий металлургический комбинат""",RU0009046452,Обрабатывающая промышленность,3760,НЛМК,True
NMTP,"ПАО ""Новороссийский морской торговый порт""",RU0009084446,Транспорт,3911,НМТП,True
NNSB,ТНС энерго Нижний Новгород,RU000A0ET5A1,Коммунальные услуги,2870,ТНС энерго Нижний Новгород,True
NSVZ,"ООО ""Наука-связь""",RU000A0JQLB6,Технологии,2399,Наука-Связь,True
NVTK,НОВАТЭК,RU000A0DKVS5,Энергетика,4071,НОВАТЭК,True
OGKB,"ПАО ""ОГК-2"" (преж.наим.ОАО ""ТГК-4"")",RU000A0JNG55,Коммунальные услуги,4207,ОГК-2,True
OKEY,КИВИ Финанс,US6708662019,Технологии,2766,Окей,True
OMZZP,ОМЗ-ап,RU0009090559,,2326,ОМЗ,True
OZON,МКПАО «Озон»,RU000A10CW95,Технологии,1936,OZON | ОЗОН,True
OZPH,Озон,RU000A109B25,Здравоохранение,1408,ОЗОН Фармацевтика,True
PAZA,ПавлАвт ао,RU0009083240,,1236,Павловский автобус,True
PHOR,"ОАО ""ФосАгро""",RU000A0JRKT8,Обрабатывающая промышленность,4931,ФосАгро,True
PIKK,"ПАО ""Группа Компаний ПИК""",RU000A0JP7J7,Недвижимость,3358,ПИК СЗ,True
PLZL,Полюс,RU000A0JNAA8,Обрабатывающая промышленность,3403,Полюс,True
PMSB,"ПАО ""Пермская энергосбытовая компания""",RU000A0ET123,Коммунальные услуги,3075,Пермэнергосбыт,True
POSI,Группа Позитив,RU000A103X66,Технологии,2625,Группа Позитив,True
PRFN,ТЕПЛАНТ ао,RU000A0JNXF9,,2572,ТЕПЛАНТ восток,True
PRMB,"ОАО АКБ ""Приморье""",RU000A0DPNQ5,Финансы,532,Приморье Банк,True
PRMD,Промомед,RU000A108JF7,Здравоохранение,1028,Промомед,True
